deskripsi_masalah,layanan_rekomendasi
"Program bantuan renovasi rumah",Sosial
"Dukungan ekonomi single parent",Sosial
"Bantuan modal pedagang pasar",Sosial
"Program kesejahteraan keluarga",Sosial
"Pembuatan KK baru setelah nikah",Kependudukan
"Mengurus akte kematian orangtua",Kependudukan
"Pendaftaran penduduk musiman",Kependudukan
"Surat keterangan domisili usaha",Kependudukan
"Administrasi pindah RT/RW",Kependudukan
"Pengobatan rutin pasien diabetes",Kesehatan
"Layanan ambulans gratis",Kesehatan
"Konsultasi gizi balita",Kesehatan
"Program KB gratis",Kesehatan
"Pemeriksaan kesehatan pranikah",Kesehatan
"Bantuan alat sekolah anak miskin",Pendidikan
"Program beasiswa mahasiswa berprestasi",Pendidikan
"Pelatihan kewirausahaan pemuda",Pendidikan
"Kursus keterampilan tata boga",Pendidikan
"Pendidikan kesetaraan paket A/B/C",Pendidikan
"Bantuan modal pertanian",Sosial
"Program pemberdayaan wanita",Sosial
"Bantuan tunai langsung",Sosial
"Dukungan korban PHK massal",Sosial
"Program bantuan pangan",Sosial
"Pembuatan KTP pengganti",Kependudukan
"Mengurus surat pindah masuk",Kependudukan
"Administrasi kelahiran anak",Kependudukan
"Update data penduduk",Kependudukan
"Legalisasi dokumen pribadi",Kependudukan
"Pengobatan luka diabetes",Kesehatan
"Layanan medis darurat",Kesehatan
"Konsultasi ibu hamil",Kesehatan
"Pemeriksaan mata gratis",Kesehatan
"Program imunisasi anak",Kesehatan
"Beasiswa anak kurang mampu",Pendidikan
"Pelatihan bisnis online",Pendidikan
"Kursus menjahit gratis",Pendidikan
"Program pendidikan luar sekolah",Pendidikan
"Bimbingan karir remaja",Pendidikan
"Bantuan modal warung kecil",Sosial
"Program bantuan bencana",Sosial
"Dukungan lansia terlantar",Sosial
"Bantuan biaya hidup",Sosial
"Program kesejahteraan RT",Sosial
